Key,Id,English(en),French(fr),German(de),Spanish (Spain)(es-ES)
"America",11143208960,"America","Amérique","Amerika","América"
"Alaska",122648780800,"Alaska","Alaska","Alaska","Alaska"
"Florida",144689848320,"Florida","Floride","Florida","Florida"
"California",201099042816,"California","Californie","Kalifornien","California"
"Texas",238231216128,"Texas","Texas","Texas","Texas"
"Months",296649482240,"Months","Mois","Monate","Meses"
"April",323585302528,"April","Avril","April","Abril"
"March",339322331136,"March","Mars","März","Marzo"
"June",372352475136,"June","Juin","Juni","Junio"
"September",396700409856,"September","Septembre","September","Septiembre"
"Seasons",476476071936,"Seasons","Saisons","Jahreszeiten","Estaciones"
"Summer",503856488448,"Summer","Été","Sommer","Verano"
"Autumn",530532261888,"Autumn","Automne","Herbst","Otoño"
"Spring",582751346688,"Spring","Printemps","Frühling","Primavera"
"Winter",600900100096,"Winter","Hiver","Winter","Invierno"
"Mars",736487741054976,,,,
"Jupiter",736509098450944,,,,
"Earth",736531487645696,,,,
"Saturn",736560638058496,,,,
"Leo",736581852848128,,,,
"Virgo",736611372359680,,,,
"Taurus",736625138065408,,,,
"Pisces",736653248290816,,,,
