Key,Id,English(en),French(fr),German(de),Portuguese(pt),Russian(ru),Spanish(es)
aunt,19540900777984,Aunt,Tante,Tante,Tia,Тётя,Tía
drums,19814969184256,Drums,Batterie,Schlagzeug,Bateria,Барабаны,Batería
machhiato,19832102916096,Macchiato,Macchiato,Macchiato,Macchiato,Макиато,Macchiato
london,19882723971072,London,Londres,London,Londres,Лондон,Londres
toronto,19901887746048,Toronto,Toronto,Toronto,Toronto,Торонто,Toronto
teacher,19921538060288,Teacher,Professeur,Lehrer,Professor,Учитель,Profesor
parents,19939527430144,Parents,Parents,Eltern,Pais,Родители,Padres
cortado,19960037576704,Cortado,Cortado,Cortado,Cortado,Кортадо,Cortado
americano,19989162823680,Americano,Américain,Americano,Americano,Американо,Americano
cappuccino,20009589084160,Cappuccino,Cappuccino,Cappuccino,Cappuccino,Капучино,Capuchino
chicago,20031646928896,Chicago,Chicago,Chicago,Chicago,Чикаго,Chicago
child,20054967259136,Child,Enfant,Kind,Criança,Ребёнок,Niño
guitar,20280511762432,Guitar,Guitare,Gitarre,Guitarra,Гитара,Guitarra
brother,20301567168512,Brother,Frère,Bruder,Irmão,Брат,Hermano
chef,20327076925440,Chef,Chef,Koch,Chef,Шеф-повар,Chef
corn dog,20367514210304,Corn Dog,Corn Dog,Corn Dog,Cachorro-quente no palito,Корн-дог,Corn Dog
fries,20421578788864,Fries,Frites,Pommes,Batatas fritas,Картофель фри,Papas fritas
violin,20444563574784,Violin,Violon,Geige,Violino,Скрипка,Violín
doctor,20468815040512,Doctor,Médecin,Arzt,Médico,Доктор,Doctor
beijing,20507130007552,Beijing,Pékin,Peking,Pequim,Пекин,Pekín
clarinet,20585555103744,Clarinet,Clarinette,Klarinette,Clarinete,Кларнет,Clarinete
summer,20619780624384,Summer,Été,Sommer,Verão,Лето,Verano
laptop,20632225124352,Laptop,Ordinateur portable,Laptop,Notebook,Ноутбук,Portátil
ocean,20652571693056,Ocean,Océan,Ozean,Oceano,Океан,Océano
battery,20671513169920,Battery,Batterie,Batterie,Bateria,Батарея,Batería
spring,20689053749248,Spring,Printemps,Frühling,Primavera,Весна,Primavera
river,21272011673600,River,Rivière,Fluss,Rio,Река,Río
headphone,21333219151872,Headphones,Casque,Kopfhörer,Fones de ouvido,Наушники,Auriculares
pond,21357361565696,Pond,Étang,Teich,Lagoa,Пруд,Estanque
phone,21370682675200,Phone,Téléphone,Telefon,Telefone,Телефон,Teléfono
winter,21397949845504,Winter,Hiver,Winter,Inverno,Зима,Invierno
autumn,21424222965760,Autumn,Automne,Herbst,Outono,Осень,Otoño
lake,21444926050304,Lake,Lac,See,Lago,Озеро,Lago
