Key,Id,English(en),French(fr),German(de),Portuguese(pt),Russian(ru),Spanish (Spain)(es-ES)
"PISCES",11684483072,"PISCES","Poissons","Fische","Peixes","Рыбы","Piscis"
"TAURUS",83004428288,"TAURUS","Taureau","Stier","Touro","Телец","Tauro"
"COCONUT",731028590592,"COCONUT","Noix de coco","Kokosnuss","Coco","Кокос","Coco"
"ROSE",801245433856,"ROSE","Rose","Rose","Rosa","Роза","Rosa"
"GOLD",819100585984,"GOLD","Or","Gold","Ouro","Золото","Oro"
"IRON",848775286784,"IRON","Fer","Eisen","Ferro","Железо","Hierro"
"PUPPET",876545773568,"PUPPET","Marionnette","Puppe","Fantoche","Марионетка","Títere"
"BLOOD",916739788800,"BLOOD","Sang","Blut","Sangue","Кровь","Sangre"
"SUNFLOWER",1153806045184,"SUNFLOWER","Tournesol","Sonnenblume","Girassol","Подсолнух","Girasol"
"AVOCADO",1195107356672,"AVOCADO","Avocat","Avocado","Abacate","Авокадо","Aguacate"
"VIRGO",1213918810112,"VIRGO","Vierge","Jungfrau","Virgem","Дева","Virgo"
"GEPPETTO",1253823418368,"GEPPETTO","Geppetto","Geppetto","Geppetto","Джеппетто","Geppetto"
"Fairy",1273591173120,"Fairy","Fée","Fee","Fada","Фея","Hada"
"PETER PAN",1304859709440,"PETER PAN","Peter Pan","Peter Pan","Peter Pan","Питер Пэн","Peter Pan"
"Olive",1335465545728,"Olive","Olive","Olive","Oliva","Оливка","Oliva"
"CHERRY",1382659854336,"CHERRY","Cerise","Kirsche","Cereja","Вишня","Cereza"
"OXYGEN",1401043488768,"OXYGEN","Oxygène","Sauerstoff","Oxigênio","Кислород","Oxígeno"
"TOMATO",1419712335872,"TOMATO","Tomate","Tomate","Tomate","Помидор","Tomate"
"HELIUM",1437252915200,"HELIUM","Hélium","Helium","Hélio","Гелий","Helio"
"Bulgaria",1454889963520,"Bulgaria","Bulgarie","Bulgarien","Bulgária","Болгария","Bulgaria"
"PUMPKIN",1473504284672,"PUMPKIN","Citrouille","Kürbis","Abóbora","Тыква","Calabaza"
"serbia",1500406550528,"serbia","Serbie","Serbien","Sérvia","Сербия","Serbia"
"SLIPPER",1518857293824,"SLIPPER","Pantoufle","Hausschuh","Chinelo","Тапочка","Zapatilla"
"RAPUNZEL",1536418844672,"RAPUNZEL","Raiponce","Rapunzel","Rapunzel","Рапунцель","Rapunzel"
"Croatia",1553841983488,"Croatia","Croatie","Kroatien","Croácia","Хорватия","Croacia"
"Romania",1571571306496,"Romania","Roumanie","Rumänien","Romênia","Румыния","Rumanía"
"NOSE",1602940506112,"NOSE","Nez","Nase","Nariz","Нос","Nariz"
"Prince",1623626813440,"Prince","Prince","Prinz","Príncipe","Принц","Príncipe"
"WOODEN",1646427049984,"WOODEN","En bois","Holz","Madeira","Деревянный","De madera"
"LEO",262284659331072,"LEO","Lion","Löwe","Leão","Лев","Leo"
"Red Things",1712980936036352,,,,,,
"Elements",1713023583719424,,,,,,
"Eastern Europe",1713064868253696,,,,,,
"Cinderella",1713103627816960,,,,,,
