Key,Id,French(fr),German(de),Portuguese(pt),Russian(ru),Spanish (Spain)(es-ES)
PISCES,11684483072,Poissons,Fische,Peixes,Рыбы,Piscis
TAURUS,83004428288,Taureau,Stier,Touro,Телец,Tauro
COCONUT,731028590592,Noix de coco,Kokosnuss,Coco,Кокос,Coco
ROSE,801245433856,Rose,Rose,Rosa,Роза,Rosa
GOLD,819100585984,Or,Gold,Ouro,Золото,Oro
IRON,848775286784,Fer,Eisen,Ferro,Железо,Hierro
PUPPET,876545773568,Marionnette,Puppe,Fantoche,Марионетка,Títere
BLOOD,916739788800,Sang,Blut,Sangue,Кровь,Sangre
SUNFLOWER,1153806045184,Tournesol,Sonnenblume,Girassol,Подсолнух,Girasol
AVOCADO,1195107356672,Avocat,Avocado,Abacate,Авокадо,Aguacate
VIRGO,1213918810112,Vierge,Jungfrau,Virgem,Дева,Virgo
GEPPETTO,1253823418368,Geppetto,Geppetto,Geppetto,Джеппетто,Geppetto
Fairy,1273591173120,Fée,Fee,Fada,Фея,Hada
PETER PAN,1304859709440,Peter Pan,Peter Pan,Peter Pan,Питер Пэн,Peter Pan
Olive,1335465545728,Olive,Olive,Oliva,Оливка,Oliva
CHERRY,1382659854336,Cerise,Kirsche,Cereja,Вишня,Cereza
OXYGEN,1401043488768,Oxygène,Sauerstoff,Oxigênio,Кислород,Oxígeno
TOMATO,1419712335872,Tomate,Tomate,Tomate,Помидор,Tomate
HELIUM,1437252915200,Hélium,Helium,Hélio,Гелий,Helio
Bulgaria,1454889963520,Bulgarie,Bulgarien,Bulgária,Болгария,Bulgaria
PUMPKIN,1473504284672,Citrouille,Kürbis,Abóbora,Тыква,Calabaza
serbia,1500406550528,Serbie,Serbien,Sérvia,Сербия,Serbia
SLIPPER,1518857293824,Pantoufle,Hausschuh,Chinelo,Тапочка,Zapatilla
RAPUNZEL,1536418844672,Raiponce,Rapunzel,Rapunzel,Рапунцель,Rapunzel
Croatia,1553841983488,Croatie,Kroatien,Croácia,Хорватия,Croacia
Romania,1571571306496,Roumanie,Rumänien,Romênia,Румыния,Rumanía
NOSE,1602940506112,Nez,Nase,Nariz,Нос,Nariz
Prince,1623626813440,Prince,Prinz,Príncipe,Принц,Príncipe
WOODEN,1646427049984,En bois,Holz,Madeira,Деревянный,De madera
